Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-15,1255.1,1255.1,1250.03,1250.03,nan,nan,,,,
2026-05-18,1250.79,1250.79,1244.7,1244.7,nan,nan,,,,
2026-05-19,1244.95,1244.95,1244.89,1244.93,nan,nan,,,,
2026-05-20,1245.18,1245.31,1245.18,1245.31,nan,nan,,,,
2026-05-21,1245.56,1245.6,1244.76,1244.76,nan,nan,,,,
2026-05-22,1245.01,1245.02,1244.7,1244.7,nan,nan,,,,
2026-05-25,1245.47,1247.28,1245.47,1247.28,nan,nan,,,,
2026-05-26,1247.53,1249.76,1247.53,1249.76,nan,nan,,,,
2026-05-27,1250.01,1252.16,1250.01,1252.16,nan,nan,,,,
2026-05-29,1252.67,1253.21,1252.67,1253.21,nan,nan,,,,
2026-06-01,1253.97,1253.97,1253.63,1253.63,nan,nan,,,,
2026-06-02,1253.88,1254.17,1253.8,1253.8,nan,nan,,,,
2026-06-03,1254.05,1254.06,1253.96,1253.96,nan,nan,,,,
2026-06-04,1254.21,1254.22,1254.05,1254.05,nan,nan,,,,
2026-06-05,1254.3,1260.07,1254.3,1260.07,nan,nan,,,,
2026-06-08,1260.83,1266.42,1260.83,1266.42,nan,nan,,,,
2026-06-09,1266.67,1272.81,1266.67,1272.81,nan,nan,,,,
2026-06-10,1273.06,1275.49,1273.06,1275.49,nan,nan,,,,
2026-06-11,1275.74,1276.02,1274.0,1274.0,nan,nan,,,,
2026-06-12,1274.25,1274.25,1273.97,1273.97,nan,nan,,,,
2026-06-15,1274.72,1275.38,1274.72,1275.38,nan,nan,,,,
2026-06-16,1275.63,1275.63,1275.63,1275.63,nan,nan,,,,
2026-06-17,1275.88,1277.31,1275.88,1277.31,nan,nan,,,,
2026-06-18,1277.56,1277.56,1277.44,1277.44,nan,nan,,,,
2026-06-19,1277.69,1277.85,1277.69,1277.85,nan,nan,,,,
2026-06-22,1278.6,1278.65,1278.6,1278.65,nan,nan,,,,
2026-06-23,1278.9,1281.91,1278.9,1281.91,nan,nan,,,,
2026-06-24,1282.15,1282.15,1281.77,1281.77,nan,nan,,,,
2026-06-25,1282.02,1282.02,1282.0,1282.0,nan,nan,,,,
2026-06-29,1283.0,1283.99,1283.0,1283.24,nan,nan,,,,
2026-06-30,1283.48,1287.12,1283.48,1287.12,nan,nan,,,,
2026-07-01,1287.37,1287.37,1287.36,1287.37,nan,nan,,,,
2026-07-02,1287.62,1290.2,1287.61,1290.2,nan,nan,,,,
2026-07-03,1290.45,1291.39,1290.44,1291.39,nan,nan,,,,
2026-07-06,1292.13,1292.15,1292.13,1292.15,nan,nan,,,,
2026-07-07,1292.4,1292.4,1291.82,1291.82,nan,nan,,,,
2026-07-08,1292.06,1292.06,1287.11,1287.11,nan,nan,,,,
